Občina,OŠ ali manj,srednje poklicno izobraževanje,"strokovno, splošno izobraževanje","izobraževanje prve, druge, tretje stopnje",Skupaj,month,year
KRANJ,545.0,322.0,410.0,347.0,1624.0,JUL,2018
KRANJSKA GORA,24.0,27.0,32.0,29.0,112.0,JUL,2018
KRIŽEVCI,25.0,28.0,31.0,21.0,105.0,JUL,2018
KRŠKO,605.0,327.0,242.0,142.0,1316.0,JUL,2018
KUNGOTA,57.0,56.0,58.0,35.0,206.0,JUL,2018
KUZMA,33.0,16.0,5.0,7.0,61.0,JUL,2018
LAŠKO,155.0,162.0,141.0,70.0,528.0,JUL,2018
LENART,43.0,54.0,56.0,52.0,205.0,JUL,2018
LENDAVA,269.0,194.0,187.0,99.0,749.0,JUL,2018
LITIJA,166.0,120.0,92.0,61.0,439.0,JUL,2018
LJUBLJANA,3384.0,2542.0,3278.0,2718.0,11922.0,JUL,2018
LJUBNO,14.0,31.0,33.0,17.0,95.0,JUL,2018
LJUTOMER,161.0,150.0,118.0,72.0,501.0,JUL,2018
LOG - DRAGOMER,19.0,34.0,35.0,27.0,115.0,JUL,2018
LOGATEC,118.0,95.0,104.0,67.0,384.0,JUL,2018
LOŠKA DOLINA,27.0,22.0,38.0,21.0,108.0,JUL,2018
LOŠKI POTOK,15.0,17.0,13.0,8.0,53.0,JUL,2018
LOVRENC NA POHORJU,33.0,33.0,32.0,17.0,115.0,JUL,2018
LUČE,16.0,13.0,16.0,14.0,59.0,JUL,2018
LUKOVICA,40.0,36.0,47.0,16.0,139.0,JUL,2018
MAJŠPERK,24.0,25.0,39.0,21.0,109.0,JUL,2018
MAKOLE,15.0,30.0,5.0,18.0,68.0,JUL,2018
MARIBOR,1599.0,1498.0,1647.0,1145.0,5889.0,JUL,2018
MARKOVCI,24.0,33.0,26.0,23.0,106.0,JUL,2018
MEDVODE,132.0,128.0,153.0,107.0,520.0,JUL,2018
MENGEŠ,59.0,45.0,77.0,38.0,219.0,JUL,2018
METLIKA,204.0,101.0,82.0,44.0,431.0,JUL,2018
MEŽICA,20.0,24.0,23.0,13.0,80.0,JUL,2018
MIKLAVŽ NA DRAVSKEM POLJU,58.0,77.0,69.0,39.0,243.0,JUL,2018
MIREN-KOSTANJEVICA,29.0,25.0,27.0,22.0,103.0,JUL,2018
MIRNA,21.0,20.0,9.0,11.0,61.0,JUL,2018
MIRNA PEČ,25.0,15.0,12.0,7.0,59.0,JUL,2018
MISLINJA,13.0,35.0,22.0,24.0,94.0,JUL,2018
MOKRONOG-TREBELNO,31.0,19.0,18.0,15.0,83.0,JUL,2018
MORAVČE,32.0,32.0,36.0,24.0,124.0,JUL,2018
MORAVSKE TOPLICE,103.0,60.0,58.0,51.0,272.0,JUL,2018
MOZIRJE,25.0,44.0,42.0,26.0,137.0,JUL,2018
MURSKA SOBOTA,386.0,305.0,249.0,158.0,1098.0,JUL,2018
MUTA,40.0,36.0,24.0,13.0,113.0,JUL,2018
NAKLO,25.0,26.0,32.0,24.0,107.0,JUL,2018
NAZARJE,27.0,32.0,28.0,16.0,103.0,JUL,2018
NOVA GORICA,335.0,194.0,220.0,230.0,979.0,JUL,2018
NOVO MESTO,560.0,180.0,230.0,194.0,1164.0,JUL,2018
ODRANCI,27.0,15.0,19.0,8.0,69.0,JUL,2018
OPLOTNICA,33.0,37.0,25.0,25.0,120.0,JUL,2018
ORMOŽ,131.0,172.0,135.0,69.0,507.0,JUL,2018
OSILNICA,3.0,14.0,4.0,0.0,21.0,JUL,2018
PESNICA,70.0,66.0,72.0,42.0,250.0,JUL,2018
PIRAN,167.0,168.0,163.0,143.0,641.0,JUL,2018
PIVKA,68.0,52.0,45.0,38.0,203.0,JUL,2018
PODČETRTEK,48.0,33.0,27.0,18.0,126.0,JUL,2018
PODLEHNIK,21.0,15.0,17.0,11.0,64.0,JUL,2018
PODVELKA,20.0,29.0,21.0,15.0,85.0,JUL,2018
POLJČANE,36.0,45.0,52.0,19.0,152.0,JUL,2018
POLZELA,68.0,49.0,74.0,42.0,233.0,JUL,2018
POSTOJNA,188.0,147.0,133.0,82.0,550.0,JUL,2018
PREBOLD,50.0,58.0,50.0,38.0,196.0,JUL,2018
PREDDVOR,15.0,15.0,27.0,20.0,77.0,JUL,2018
PREVALJE,57.0,73.0,67.0,36.0,233.0,JUL,2018
PTUJ,182.0,207.0,282.0,189.0,860.0,JUL,2018
PUCONCI,157.0,76.0,43.0,44.0,320.0,JUL,2018
RAČE-FRAM,68.0,90.0,77.0,53.0,288.0,JUL,2018
RADEČE,47.0,36.0,49.0,26.0,158.0,JUL,2018
RADENCI,57.0,68.0,54.0,32.0,211.0,JUL,2018
RADLJE OB DRAVI,40.0,85.0,54.0,37.0,216.0,JUL,2018
RADOVLJICA,85.0,111.0,132.0,95.0,423.0,JUL,2018
RAVNE NA KOROŠKEM,75.0,111.0,102.0,60.0,348.0,JUL,2018
RAZKRIŽJE,21.0,15.0,7.0,3.0,46.0,JUL,2018
REČICA OB SAVINJI,21.0,22.0,34.0,10.0,87.0,JUL,2018
RENČE-VOGRSKO,31.0,19.0,23.0,15.0,88.0,JUL,2018
RIBNICA,88.0,64.0,84.0,42.0,278.0,JUL,2018
RIBNICA NA POHORJU,11.0,25.0,12.0,4.0,52.0,JUL,2018
ROGAŠKA SLATINA,139.0,166.0,110.0,72.0,487.0,JUL,2018
ROGAŠOVCI,122.0,44.0,16.0,11.0,193.0,JUL,2018
ROGATEC,53.0,48.0,35.0,18.0,154.0,JUL,2018
RUŠE,67.0,92.0,94.0,49.0,302.0,JUL,2018
SELNICA OB DRAVI,36.0,51.0,57.0,30.0,174.0,JUL,2018
SEMIČ,93.0,45.0,34.0,24.0,196.0,JUL,2018
SEVNICA,156.0,199.0,131.0,92.0,578.0,JUL,2018
SEŽANA,118.0,99.0,109.0,88.0,414.0,JUL,2018
SLOVENJ GRADEC,128.0,152.0,161.0,116.0,557.0,JUL,2018
SLOVENSKA BISTRICA,224.0,205.0,239.0,168.0,836.0,JUL,2018
SLOVENSKE KONJICE,215.0,219.0,175.0,112.0,721.0,JUL,2018
SODRAŽICA,8.0,23.0,6.0,16.0,53.0,JUL,2018
SOLČAVA,2.0,5.0,6.0,2.0,15.0,JUL,2018
SREDIŠČE OB DRAVI,16.0,20.0,28.0,13.0,77.0,JUL,2018
STARŠE,37.0,42.0,44.0,29.0,152.0,JUL,2018
STRAŽA,25.0,22.0,18.0,14.0,79.0,JUL,2018
SVETA ANA,23.0,20.0,11.0,7.0,61.0,JUL,2018
SVETA TROJICA V SLOVENSKIH GORICAH,11.0,18.0,13.0,11.0,53.0,JUL,2018
SVETI ANDRAŽ V SLOV. GORICAH,10.0,8.0,7.0,3.0,28.0,JUL,2018
SVETI JURIJ OB ŠČAVNICI,51.0,47.0,30.0,18.0,146.0,JUL,2018
SVETI JURIJ V SLOVENSKIH GORICAH,6.0,4.0,13.0,7.0,30.0,JUL,2018
SVETI TOMAŽ,14.0,34.0,25.0,4.0,77.0,JUL,2018
ŠALOVCI,31.0,20.0,8.0,6.0,65.0,JUL,2018
ŠEMPETER-VRTOJBA,55.0,36.0,45.0,38.0,174.0,JUL,2018
ŠENČUR,43.0,40.0,57.0,52.0,192.0,JUL,2018
ŠENTILJ,84.0,83.0,70.0,43.0,280.0,JUL,2018
ŠENTJERNEJ,110.0,45.0,33.0,28.0,216.0,JUL,2018
ŠENTJUR,169.0,226.0,213.0,129.0,737.0,JUL,2018
ŠENTRUPERT,18.0,19.0,14.0,9.0,60.0,JUL,2018
ŠKOCJAN,99.0,23.0,17.0,11.0,150.0,JUL,2018
ŠKOFJA LOKA,141.0,102.0,152.0,120.0,515.0,JUL,2018
ŠKOFLJICA,67.0,81.0,86.0,70.0,304.0,JUL,2018
ŠMARJE PRI JELŠAH,137.0,131.0,100.0,59.0,427.0,JUL,2018
ŠMARJEŠKE TOPLICE,22.0,18.0,21.0,15.0,76.0,JUL,2018
ŠMARTNO OB PAKI,21.0,25.0,26.0,20.0,92.0,JUL,2018
ŠMARTNO PRI LITIJI,38.0,39.0,36.0,27.0,140.0,JUL,2018
ŠOŠTANJ,97.0,82.0,73.0,58.0,310.0,JUL,2018
ŠTORE,36.0,48.0,37.0,18.0,139.0,JUL,2018
TABOR,17.0,17.0,14.0,11.0,59.0,JUL,2018
TIŠINA,103.0,55.0,34.0,20.0,212.0,JUL,2018
TOLMIN,74.0,70.0,68.0,43.0,255.0,JUL,2018
TRBOVLJE,273.0,269.0,233.0,147.0,922.0,JUL,2018
TREBNJE,202.0,79.0,59.0,53.0,393.0,JUL,2018
TRNOVSKA VAS,10.0,10.0,4.0,4.0,28.0,JUL,2018
TRZIN,18.0,20.0,31.0,34.0,103.0,JUL,2018
TRŽIČ,163.0,129.0,105.0,65.0,462.0,JUL,2018
TURNIŠČE,63.0,63.0,28.0,20.0,174.0,JUL,2018
VELENJE,430.0,376.0,400.0,236.0,1442.0,JUL,2018
VELIKA POLANA,22.0,24.0,8.0,8.0,62.0,JUL,2018
VELIKE LAŠČE,22.0,30.0,37.0,19.0,108.0,JUL,2018
VERŽEJ,9.0,8.0,9.0,9.0,35.0,JUL,2018
VIDEM,47.0,51.0,41.0,15.0,154.0,JUL,2018
VIPAVA,36.0,43.0,51.0,40.0,170.0,JUL,2018
VITANJE,19.0,23.0,14.0,15.0,71.0,JUL,2018
VODICE,22.0,40.0,42.0,34.0,138.0,JUL,2018
VOJNIK,54.0,77.0,96.0,66.0,293.0,JUL,2018
VRANSKO,22.0,29.0,18.0,18.0,87.0,JUL,2018
VRHNIKA,173.0,138.0,161.0,103.0,575.0,JUL,2018
VUZENICA,20.0,31.0,21.0,23.0,95.0,JUL,2018
ZAGORJE OB SAVI,176.0,153.0,154.0,101.0,584.0,JUL,2018
ZAVRČ,18.0,16.0,8.0,6.0,48.0,JUL,2018
ZREČE,86.0,90.0,63.0,44.0,283.0,JUL,2018
ŽALEC,286.0,264.0,272.0,158.0,980.0,JUL,2018
ŽELEZNIKI,32.0,28.0,23.0,28.0,111.0,JUL,2018
ŽETALE,13.0,5.0,9.0,5.0,32.0,JUL,2018
ŽIRI,11.0,20.0,24.0,24.0,79.0,JUL,2018
ŽIROVNICA,16.0,20.0,24.0,18.0,78.0,JUL,2018
ŽUŽEMBERK,33.0,41.0,16.0,9.0,99.0,JUL,2018
OBČINA IZVEN RS,233.0,44.0,38.0,54.0,369.0,JUL,2018
,,,,,,JUL,2018
,,,,,76051.0,JUL,2018
AJDOVŠČINA,183.0,161.0,123.0,113.0,580.0,AVG,2018
ANKARAN,28.0,28.0,40.0,14.0,110.0,AVG,2018
APAČE,59.0,52.0,30.0,15.0,156.0,AVG,2018
BELTINCI,160.0,97.0,78.0,64.0,399.0,AVG,2018
BENEDIKT,15.0,15.0,14.0,9.0,53.0,AVG,2018
BISTRICA OB SOTLI,16.0,12.0,9.0,11.0,48.0,AVG,2018
BLED,26.0,37.0,70.0,49.0,182.0,AVG,2018
BLOKE,3.0,15.0,14.0,10.0,42.0,AVG,2018
BOHINJ,16.0,28.0,25.0,21.0,90.0,AVG,2018
BOROVNICA,40.0,49.0,32.0,34.0,155.0,AVG,2018
BOVEC,13.0,22.0,13.0,12.0,60.0,AVG,2018
BRASLOVČE,45.0,44.0,42.0,43.0,174.0,AVG,2018
BRDA,32.0,25.0,28.0,27.0,112.0,AVG,2018
BREZOVICA,81.0,92.0,110.0,97.0,380.0,AVG,2018
BREŽICE,298.0,331.0,259.0,159.0,1047.0,AVG,2018
CANKOVA,56.0,29.0,20.0,13.0,118.0,AVG,2018
CELJE,605.0,614.0,665.0,477.0,2361.0,AVG,2018
CERKLJE NA GORENJSKEM,29.0,32.0,38.0,50.0,149.0,AVG,2018
CERKNICA,68.0,103.0,102.0,77.0,350.0,AVG,2018
CERKNO,19.0,12.0,18.0,18.0,67.0,AVG,2018
CERKVENJAK,13.0,15.0,10.0,5.0,43.0,AVG,2018
CIRKULANE,24.0,27.0,20.0,8.0,79.0,AVG,2018
ČRENŠOVCI,136.0,71.0,35.0,28.0,270.0,AVG,2018
ČRNA NA KOROŠKEM,32.0,24.0,20.0,14.0,90.0,AVG,2018
ČRNOMELJ,386.0,221.0,124.0,62.0,793.0,AVG,2018
DESTRNIK,16.0,19.0,25.0,8.0,68.0,AVG,2018
DIVAČA,34.0,38.0,36.0,13.0,121.0,AVG,2018
DOBJE,9.0,8.0,5.0,6.0,28.0,AVG,2018
DOBREPOLJE,32.0,45.0,26.0,14.0,117.0,AVG,2018
DOBRNA,14.0,19.0,13.0,11.0,57.0,AVG,2018
DOBROVA-POLHOV GRADEC,30.0,36.0,57.0,46.0,169.0,AVG,2018
DOBROVNIK,40.0,26.0,16.0,7.0,89.0,AVG,2018
DOL PRI LJUBLJANI,45.0,52.0,44.0,41.0,182.0,AVG,2018
DOLENJSKE TOPLICE,23.0,16.0,21.0,17.0,77.0,AVG,2018
DOMŽALE,286.0,259.0,305.0,224.0,1074.0,AVG,2018
DORNAVA,17.0,12.0,25.0,12.0,66.0,AVG,2018
DRAVOGRAD,76.0,93.0,64.0,43.0,276.0,AVG,2018
DUPLEK,67.0,87.0,71.0,38.0,263.0,AVG,2018
GORENJA VAS-POLJANE,27.0,32.0,22.0,22.0,103.0,AVG,2018
GORIŠNICA,18.0,29.0,44.0,26.0,117.0,AVG,2018
GORJE,12.0,14.0,27.0,12.0,65.0,AVG,2018
GORNJA RADGONA,113.0,122.0,92.0,63.0,390.0,AVG,2018
GORNJI GRAD,15.0,27.0,18.0,11.0,71.0,AVG,2018
GORNJI PETROVCI,36.0,19.0,9.0,10.0,74.0,AVG,2018
GRAD,34.0,16.0,11.0,7.0,68.0,AVG,2018
GROSUPLJE,289.0,173.0,161.0,105.0,728.0,AVG,2018
HAJDINA,18.0,19.0,43.0,18.0,98.0,AVG,2018
HOČE-SLIVNICA,117.0,140.0,144.0,79.0,480.0,AVG,2018
HODOŠ,8.0,4.0,0.0,1.0,13.0,AVG,2018
HORJUL,7.0,13.0,22.0,10.0,52.0,AVG,2018
HRASTNIK,166.0,134.0,82.0,60.0,442.0,AVG,2018
HRPELJE-KOZINA,41.0,39.0,28.0,26.0,134.0,AVG,2018
IDRIJA,64.0,51.0,55.0,51.0,221.0,AVG,2018
IG,47.0,48.0,52.0,28.0,175.0,AVG,2018
ILIRSKA BISTRICA,121.0,136.0,90.0,83.0,430.0,AVG,2018
IVANČNA GORICA,115.0,128.0,114.0,76.0,433.0,AVG,2018
IZOLA,183.0,137.0,132.0,89.0,541.0,AVG,2018
JESENICE,182.0,163.0,125.0,69.0,539.0,AVG,2018
JEZERSKO,4.0,2.0,4.0,1.0,11.0,AVG,2018
JURŠINCI,10.0,21.0,11.0,5.0,47.0,AVG,2018
KAMNIK,241.0,223.0,235.0,139.0,838.0,AVG,2018
KANAL,45.0,48.0,35.0,36.0,164.0,AVG,2018
KIDRIČEVO,34.0,48.0,54.0,39.0,175.0,AVG,2018
KOBARID,24.0,26.0,16.0,23.0,89.0,AVG,2018
KOBILJE,8.0,7.0,4.0,1.0,20.0,AVG,2018
KOČEVJE,521.0,349.0,201.0,81.0,1152.0,AVG,2018
KOMEN,18.0,32.0,25.0,22.0,97.0,AVG,2018
KOMENDA,29.0,41.0,36.0,27.0,133.0,AVG,2018
KOPER,550.0,447.0,467.0,295.0,1759.0,AVG,2018
KOSTANJEVICA NA KRKI,29.0,24.0,13.0,10.0,76.0,AVG,2018
KOSTEL,13.0,12.0,7.0,4.0,36.0,AVG,2018
KOZJE,42.0,39.0,36.0,16.0,133.0,AVG,2018
KRANJ,529.0,322.0,411.0,348.0,1610.0,AVG,2018
KRANJSKA GORA,22.0,26.0,33.0,26.0,107.0,AVG,2018
KRIŽEVCI,25.0,27.0,32.0,22.0,106.0,AVG,2018
KRŠKO,593.0,324.0,232.0,152.0,1301.0,AVG,2018
KUNGOTA,54.0,54.0,52.0,33.0,193.0,AVG,2018
KUZMA,34.0,16.0,5.0,6.0,61.0,AVG,2018
LAŠKO,153.0,165.0,142.0,70.0,530.0,AVG,2018
LENART,42.0,51.0,58.0,47.0,198.0,AVG,2018
LENDAVA,266.0,196.0,185.0,99.0,746.0,AVG,2018
LITIJA,159.0,119.0,86.0,63.0,427.0,AVG,2018
LJUBLJANA,3370.0,2531.0,3259.0,2707.0,11867.0,AVG,2018
LJUBNO,15.0,29.0,33.0,14.0,91.0,AVG,2018
LJUTOMER,167.0,147.0,122.0,72.0,508.0,AVG,2018
LOG - DRAGOMER,18.0,33.0,34.0,26.0,111.0,AVG,2018
LOGATEC,118.0,93.0,101.0,69.0,381.0,AVG,2018
LOŠKA DOLINA,24.0,23.0,41.0,22.0,110.0,AVG,2018
LOŠKI POTOK,15.0,16.0,14.0,11.0,56.0,AVG,2018
LOVRENC NA POHORJU,32.0,33.0,32.0,19.0,116.0,AVG,2018
LUČE,16.0,9.0,17.0,13.0,55.0,AVG,2018
LUKOVICA,39.0,34.0,47.0,15.0,135.0,AVG,2018
MAJŠPERK,24.0,22.0,36.0,22.0,104.0,AVG,2018
MAKOLE,16.0,25.0,5.0,17.0,63.0,AVG,2018
MARIBOR,1610.0,1503.0,1627.0,1154.0,5894.0,AVG,2018
MARKOVCI,21.0,36.0,24.0,18.0,99.0,AVG,2018
MEDVODE,129.0,132.0,150.0,106.0,517.0,AVG,2018
MENGEŠ,63.0,43.0,74.0,36.0,216.0,AVG,2018
METLIKA,209.0,105.0,78.0,46.0,438.0,AVG,2018
MEŽICA,20.0,25.0,20.0,12.0,77.0,AVG,2018
MIKLAVŽ NA DRAVSKEM POLJU,55.0,74.0,73.0,38.0,240.0,AVG,2018
MIREN-KOSTANJEVICA,27.0,24.0,27.0,22.0,100.0,AVG,2018
MIRNA,21.0,19.0,10.0,11.0,61.0,AVG,2018
MIRNA PEČ,23.0,15.0,14.0,9.0,61.0,AVG,2018
MISLINJA,15.0,35.0,21.0,24.0,95.0,AVG,2018
MOKRONOG-TREBELNO,30.0,17.0,18.0,17.0,82.0,AVG,2018
MORAVČE,31.0,31.0,38.0,22.0,122.0,AVG,2018
MORAVSKE TOPLICE,104.0,62.0,60.0,52.0,278.0,AVG,2018
MOZIRJE,26.0,45.0,44.0,23.0,138.0,AVG,2018
MURSKA SOBOTA,383.0,297.0,245.0,166.0,1091.0,AVG,2018
MUTA,43.0,35.0,25.0,14.0,117.0,AVG,2018
NAKLO,25.0,28.0,33.0,25.0,111.0,AVG,2018
NAZARJE,27.0,31.0,27.0,15.0,100.0,AVG,2018
NOVA GORICA,331.0,186.0,224.0,234.0,975.0,AVG,2018
NOVO MESTO,554.0,187.0,234.0,196.0,1171.0,AVG,2018
ODRANCI,27.0,14.0,19.0,8.0,68.0,AVG,2018
OPLOTNICA,36.0,37.0,28.0,22.0,123.0,AVG,2018
ORMOŽ,127.0,168.0,126.0,74.0,495.0,AVG,2018
OSILNICA,3.0,14.0,4.0,0.0,21.0,AVG,2018
PESNICA,66.0,62.0,75.0,43.0,246.0,AVG,2018
PIRAN,163.0,165.0,162.0,145.0,635.0,AVG,2018
PIVKA,69.0,54.0,45.0,40.0,208.0,AVG,2018
PODČETRTEK,48.0,34.0,29.0,20.0,131.0,AVG,2018
PODLEHNIK,20.0,16.0,17.0,12.0,65.0,AVG,2018
PODVELKA,18.0,29.0,24.0,15.0,86.0,AVG,2018
POLJČANE,39.0,44.0,54.0,20.0,157.0,AVG,2018
POLZELA,70.0,49.0,78.0,43.0,240.0,AVG,2018
POSTOJNA,191.0,145.0,137.0,86.0,559.0,AVG,2018
PREBOLD,50.0,58.0,51.0,36.0,195.0,AVG,2018
PREDDVOR,16.0,15.0,27.0,22.0,80.0,AVG,2018
PREVALJE,56.0,71.0,64.0,38.0,229.0,AVG,2018
PTUJ,184.0,209.0,282.0,181.0,856.0,AVG,2018
PUCONCI,157.0,76.0,42.0,41.0,316.0,AVG,2018
RAČE-FRAM,63.0,88.0,69.0,54.0,274.0,AVG,2018
RADEČE,50.0,41.0,49.0,25.0,165.0,AVG,2018
RADENCI,59.0,67.0,53.0,32.0,211.0,AVG,2018
RADLJE OB DRAVI,42.0,82.0,56.0,37.0,217.0,AVG,2018
RADOVLJICA,83.0,108.0,125.0,98.0,414.0,AVG,2018
RAVNE NA KOROŠKEM,74.0,111.0,106.0,59.0,350.0,AVG,2018
RAZKRIŽJE,19.0,16.0,7.0,3.0,45.0,AVG,2018
REČICA OB SAVINJI,18.0,21.0,32.0,9.0,80.0,AVG,2018
RENČE-VOGRSKO,30.0,19.0,24.0,23.0,96.0,AVG,2018
RIBNICA,87.0,63.0,83.0,40.0,273.0,AVG,2018
RIBNICA NA POHORJU,12.0,24.0,13.0,5.0,54.0,AVG,2018
ROGAŠKA SLATINA,140.0,171.0,108.0,75.0,494.0,AVG,2018
ROGAŠOVCI,121.0,42.0,15.0,9.0,187.0,AVG,2018
ROGATEC,53.0,48.0,35.0,18.0,154.0,AVG,2018
RUŠE,75.0,92.0,91.0,50.0,308.0,AVG,2018
SELNICA OB DRAVI,34.0,49.0,56.0,27.0,166.0,AVG,2018
SEMIČ,88.0,45.0,36.0,27.0,196.0,AVG,2018
SEVNICA,149.0,199.0,132.0,93.0,573.0,AVG,2018
SEŽANA,117.0,98.0,114.0,86.0,415.0,AVG,2018
SLOVENJ GRADEC,131.0,159.0,158.0,119.0,567.0,AVG,2018
SLOVENSKA BISTRICA,221.0,207.0,241.0,176.0,845.0,AVG,2018
SLOVENSKE KONJICE,213.0,215.0,173.0,109.0,710.0,AVG,2018
SODRAŽICA,8.0,23.0,7.0,15.0,53.0,AVG,2018
SOLČAVA,2.0,6.0,6.0,2.0,16.0,AVG,2018
SREDIŠČE OB DRAVI,14.0,22.0,29.0,12.0,77.0,AVG,2018
STARŠE,37.0,44.0,47.0,31.0,159.0,AVG,2018
STRAŽA,27.0,22.0,18.0,14.0,81.0,AVG,2018
SVETA ANA,25.0,19.0,10.0,7.0,61.0,AVG,2018
SVETA TROJICA V SLOVENSKIH GORICAH,12.0,18.0,11.0,9.0,50.0,AVG,2018
SVETI ANDRAŽ V SLOV. GORICAH,11.0,8.0,7.0,3.0,29.0,AVG,2018
SVETI JURIJ OB ŠČAVNICI,50.0,52.0,29.0,20.0,151.0,AVG,2018
SVETI JURIJ V SLOVENSKIH GORICAH,7.0,4.0,12.0,9.0,32.0,AVG,2018
SVETI TOMAŽ,14.0,33.0,25.0,5.0,77.0,AVG,2018
ŠALOVCI,31.0,19.0,7.0,7.0,64.0,AVG,2018
ŠEMPETER-VRTOJBA,57.0,35.0,49.0,40.0,181.0,AVG,2018
ŠENČUR,43.0,35.0,57.0,51.0,186.0,AVG,2018
ŠENTILJ,86.0,81.0,70.0,48.0,285.0,AVG,2018
ŠENTJERNEJ,110.0,45.0,34.0,29.0,218.0,AVG,2018
ŠENTJUR,167.0,223.0,206.0,127.0,723.0,AVG,2018
ŠENTRUPERT,16.0,19.0,15.0,11.0,61.0,AVG,2018
ŠKOCJAN,93.0,23.0,17.0,11.0,144.0,AVG,2018
ŠKOFJA LOKA,141.0,102.0,161.0,124.0,528.0,AVG,2018
ŠKOFLJICA,67.0,81.0,91.0,77.0,316.0,AVG,2018
ŠMARJE PRI JELŠAH,133.0,127.0,104.0,65.0,429.0,AVG,2018
ŠMARJEŠKE TOPLICE,23.0,17.0,25.0,15.0,80.0,AVG,2018
ŠMARTNO OB PAKI,21.0,24.0,25.0,21.0,91.0,AVG,2018
ŠMARTNO PRI LITIJI,38.0,41.0,38.0,28.0,145.0,AVG,2018
ŠOŠTANJ,97.0,78.0,71.0,56.0,302.0,AVG,2018
ŠTORE,36.0,46.0,37.0,17.0,136.0,AVG,2018
TABOR,17.0,16.0,14.0,10.0,57.0,AVG,2018
TIŠINA,100.0,58.0,31.0,20.0,209.0,AVG,2018
TOLMIN,77.0,71.0,71.0,41.0,260.0,AVG,2018
TRBOVLJE,276.0,266.0,238.0,150.0,930.0,AVG,2018
TREBNJE,197.0,82.0,60.0,47.0,386.0,AVG,2018
TRNOVSKA VAS,10.0,9.0,5.0,4.0,28.0,AVG,2018
TRZIN,17.0,21.0,28.0,33.0,99.0,AVG,2018
TRŽIČ,164.0,129.0,104.0,59.0,456.0,AVG,2018
TURNIŠČE,59.0,61.0,26.0,20.0,166.0,AVG,2018
VELENJE,412.0,365.0,402.0,235.0,1414.0,AVG,2018
VELIKA POLANA,23.0,26.0,8.0,9.0,66.0,AVG,2018
VELIKE LAŠČE,19.0,29.0,35.0,20.0,103.0,AVG,2018
VERŽEJ,9.0,9.0,12.0,8.0,38.0,AVG,2018
VIDEM,43.0,50.0,42.0,14.0,149.0,AVG,2018
VIPAVA,35.0,41.0,51.0,40.0,167.0,AVG,2018
VITANJE,19.0,22.0,16.0,14.0,71.0,AVG,2018
VODICE,21.0,39.0,40.0,33.0,133.0,AVG,2018
VOJNIK,56.0,79.0,94.0,67.0,296.0,AVG,2018
VRANSKO,21.0,29.0,17.0,20.0,87.0,AVG,2018
VRHNIKA,174.0,138.0,162.0,109.0,583.0,AVG,2018
VUZENICA,21.0,30.0,19.0,23.0,93.0,AVG,2018
ZAGORJE OB SAVI,184.0,161.0,152.0,107.0,604.0,AVG,2018
ZAVRČ,17.0,15.0,7.0,4.0,43.0,AVG,2018
ZREČE,91.0,90.0,63.0,52.0,296.0,AVG,2018
ŽALEC,283.0,267.0,274.0,160.0,984.0,AVG,2018
ŽELEZNIKI,32.0,24.0,22.0,25.0,103.0,AVG,2018
ŽETALE,13.0,4.0,9.0,5.0,31.0,AVG,2018
ŽIRI,10.0,19.0,25.0,24.0,78.0,AVG,2018
ŽIROVNICA,15.0,19.0,18.0,18.0,70.0,AVG,2018
ŽUŽEMBERK,31.0,40.0,16.0,9.0,96.0,AVG,2018
OBČINA IZVEN RS,247.0,43.0,43.0,54.0,387.0,AVG,2018
,,,,,,AVG,2018
,,,,,75920.0,AVG,2018
AJDOVŠČINA,185.0,163.0,115.0,106.0,569.0,SEP,2018
ANKARAN,28.0,28.0,40.0,19.0,115.0,SEP,2018
APAČE,60.0,48.0,26.0,15.0,149.0,SEP,2018
BELTINCI,161.0,91.0,78.0,51.0,381.0,SEP,2018
BENEDIKT,15.0,14.0,16.0,7.0,52.0,SEP,2018
BISTRICA OB SOTLI,16.0,12.0,10.0,11.0,49.0,SEP,2018
BLED,25.0,34.0,68.0,45.0,172.0,SEP,2018
BLOKE,5.0,14.0,14.0,8.0,41.0,SEP,2018
BOHINJ,17.0,26.0,24.0,17.0,84.0,SEP,2018
BOROVNICA,39.0,46.0,36.0,32.0,153.0,SEP,2018
BOVEC,13.0,18.0,12.0,10.0,53.0,SEP,2018
BRASLOVČE,49.0,42.0,44.0,39.0,174.0,SEP,2018
BRDA,33.0,21.0,24.0,25.0,103.0,SEP,2018
BREZOVICA,82.0,87.0,113.0,87.0,369.0,SEP,2018
BREŽICE,290.0,326.0,265.0,150.0,1031.0,SEP,2018
CANKOVA,58.0,25.0,17.0,9.0,109.0,SEP,2018
CELJE,615.0,597.0,642.0,459.0,2313.0,SEP,2018
CERKLJE NA GORENJSKEM,29.0,30.0,42.0,41.0,142.0,SEP,2018
CERKNICA,69.0,93.0,100.0,71.0,333.0,SEP,2018
CERKNO,24.0,12.0,20.0,19.0,75.0,SEP,2018
CERKVENJAK,11.0,13.0,9.0,5.0,38.0,SEP,2018
CIRKULANE,24.0,29.0,17.0,9.0,79.0,SEP,2018
ČRENŠOVCI,138.0,69.0,30.0,22.0,259.0,SEP,2018
ČRNA NA KOROŠKEM,29.0,25.0,22.0,10.0,86.0,SEP,2018
ČRNOMELJ,388.0,215.0,124.0,57.0,784.0,SEP,2018
DESTRNIK,14.0,16.0,31.0,6.0,67.0,SEP,2018
DIVAČA,35.0,39.0,35.0,11.0,120.0,SEP,2018
