Urad za delo,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 ali več,Skupaj,month,year
UD Cerknica,38.0,48.0,79.0,66.0,46.0,166.0,443.0,NOV,2018
UD Domžale,107.0,193.0,336.0,328.0,194.0,377.0,1535.0,NOV,2018
UD Grosuplje,146.0,152.0,277.0,251.0,133.0,286.0,1245.0,NOV,2018
UD Kamnik,76.0,108.0,215.0,172.0,104.0,261.0,936.0,NOV,2018
UD Kočevje,149.0,151.0,254.0,201.0,130.0,236.0,1121.0,NOV,2018
UD Ljubljana,966.0,1950.0,3887.0,3027.0,1604.0,3958.0,15392.0,NOV,2018
UD Logatec,39.0,40.0,64.0,69.0,46.0,92.0,350.0,NOV,2018
UD Ribnica,69.0,54.0,59.0,59.0,30.0,68.0,339.0,NOV,2018
UD Vrhnika,69.0,103.0,170.0,153.0,95.0,222.0,812.0,NOV,2018
OS Maribor,1105.0,1355.0,2290.0,1947.0,1163.0,2482.0,10342.0,NOV,2018
UD Lenart,63.0,50.0,72.0,65.0,62.0,102.0,414.0,NOV,2018
UD Maribor,761.0,991.0,1684.0,1420.0,868.0,1872.0,7596.0,NOV,2018
UD Pesnica,79.0,82.0,138.0,133.0,69.0,148.0,649.0,NOV,2018
UD Ruše,84.0,72.0,121.0,122.0,54.0,124.0,577.0,NOV,2018
UD Slovenska Bistrica,118.0,160.0,275.0,207.0,110.0,236.0,1106.0,NOV,2018
OS Murska Sobota,659.0,591.0,961.0,1044.0,857.0,1818.0,5930.0,NOV,2018
UD Gornja Radgona,83.0,71.0,166.0,159.0,133.0,296.0,908.0,NOV,2018
UD Lendava,151.0,116.0,215.0,233.0,200.0,442.0,1357.0,NOV,2018
UD Ljutomer,68.0,84.0,105.0,115.0,106.0,237.0,715.0,NOV,2018
UD Murska Sobota,357.0,320.0,475.0,537.0,418.0,843.0,2950.0,NOV,2018
OS Nova Gorica,222.0,355.0,651.0,581.0,336.0,925.0,3070.0,NOV,2018
UD Ajdovščina,52.0,77.0,157.0,141.0,98.0,206.0,731.0,NOV,2018
UD Idrija,33.0,40.0,67.0,51.0,26.0,74.0,291.0,NOV,2018
UD Nova Gorica,105.0,194.0,379.0,331.0,162.0,490.0,1661.0,NOV,2018
UD Tolmin,32.0,44.0,48.0,58.0,50.0,155.0,387.0,NOV,2018
OS Novo mesto,410.0,398.0,725.0,660.0,388.0,1049.0,3630.0,NOV,2018
UD Črnomelj,110.0,81.0,170.0,159.0,106.0,297.0,923.0,NOV,2018
UD Metlika,80.0,39.0,80.0,73.0,46.0,97.0,415.0,NOV,2018
UD Novo mesto,171.0,210.0,381.0,328.0,179.0,509.0,1778.0,NOV,2018
UD Trebnje,49.0,68.0,94.0,100.0,57.0,146.0,514.0,NOV,2018
OS Ptuj,344.0,377.0,517.0,494.0,334.0,652.0,2718.0,NOV,2018
UD Ormož,78.0,72.0,100.0,117.0,75.0,170.0,612.0,NOV,2018
UD Ptuj,266.0,305.0,417.0,377.0,259.0,482.0,2106.0,NOV,2018
OS Sevnica,345.0,340.0,564.0,558.0,415.0,880.0,3102.0,NOV,2018
UD Brežice,92.0,105.0,180.0,203.0,150.0,316.0,1046.0,NOV,2018
UD Krško,173.0,163.0,271.0,254.0,164.0,410.0,1435.0,NOV,2018
UD Sevnica,80.0,72.0,113.0,101.0,101.0,154.0,621.0,NOV,2018
OS Trbovlje,239.0,255.0,524.0,430.0,294.0,598.0,2340.0,NOV,2018
UD Hrastnik,48.0,42.0,91.0,90.0,53.0,102.0,426.0,NOV,2018
UD Litija,48.0,49.0,105.0,106.0,68.0,129.0,505.0,NOV,2018
UD Trbovlje,85.0,93.0,204.0,141.0,106.0,230.0,859.0,NOV,2018
UD Zagorje,58.0,71.0,124.0,93.0,67.0,137.0,550.0,NOV,2018
OS Velenje,518.0,507.0,985.0,799.0,514.0,1196.0,4519.0,NOV,2018
UD Dravograd,38.0,22.0,51.0,43.0,28.0,79.0,261.0,NOV,2018
UD Mozirje,90.0,68.0,126.0,97.0,69.0,142.0,592.0,NOV,2018
UD Radlje ob Dravi,49.0,57.0,99.0,113.0,87.0,148.0,553.0,NOV,2018
UD Ravne na Koroškem,91.0,80.0,147.0,130.0,103.0,178.0,729.0,NOV,2018
UD Slovenj Gradec,63.0,69.0,116.0,124.0,78.0,155.0,605.0,NOV,2018
UD Velenje,187.0,211.0,446.0,292.0,149.0,494.0,1779.0,NOV,2018
,,,,,,,,NOV,2018
,,,,,,,76099.0,NOV,2018
OS Celje,745.0,892.0,1691.0,1682.0,1176.0,2304.0,8490.0,DEC,2018
UD Celje,198.0,286.0,629.0,607.0,364.0,697.0,2781.0,DEC,2018
UD Laško,59.0,71.0,127.0,102.0,83.0,189.0,631.0,DEC,2018
UD Slovenske Konjice,120.0,136.0,207.0,234.0,144.0,375.0,1216.0,DEC,2018
UD Šentjur,81.0,82.0,177.0,165.0,111.0,210.0,826.0,DEC,2018
UD Šmarje pri Jelšah,129.0,160.0,246.0,257.0,215.0,369.0,1376.0,DEC,2018
UD Žalec,158.0,157.0,305.0,317.0,259.0,464.0,1660.0,DEC,2018
OS Koper,394.0,499.0,1152.0,1071.0,637.0,1604.0,5357.0,DEC,2018
UD Ilirska Bistrica,35.0,37.0,79.0,81.0,65.0,130.0,427.0,DEC,2018
UD Izola,39.0,51.0,115.0,112.0,62.0,177.0,556.0,DEC,2018
UD Koper,141.0,199.0,461.0,415.0,227.0,610.0,2053.0,DEC,2018
UD Piran,47.0,75.0,193.0,191.0,90.0,211.0,807.0,DEC,2018
UD Postojna,83.0,70.0,155.0,134.0,101.0,244.0,787.0,DEC,2018
UD Sežana,49.0,67.0,149.0,138.0,92.0,232.0,727.0,DEC,2018
OS Kranj,443.0,539.0,1077.0,932.0,567.0,1613.0,5171.0,DEC,2018
UD Jesenice,74.0,73.0,146.0,153.0,75.0,225.0,746.0,DEC,2018
UD Kranj,173.0,242.0,546.0,446.0,268.0,711.0,2386.0,DEC,2018
UD Radovljica,70.0,103.0,162.0,133.0,94.0,243.0,805.0,DEC,2018
UD Škofja Loka,81.0,80.0,149.0,124.0,81.0,282.0,797.0,DEC,2018
UD Tržič,45.0,41.0,74.0,76.0,49.0,152.0,437.0,DEC,2018
OS Ljubljana,1606.0,2767.0,5497.0,4472.0,2453.0,5764.0,22559.0,DEC,2018
UD Cerknica,38.0,45.0,85.0,70.0,49.0,169.0,456.0,DEC,2018
UD Domžale,98.0,191.0,351.0,340.0,198.0,394.0,1572.0,DEC,2018
UD Grosuplje,150.0,149.0,297.0,269.0,139.0,302.0,1306.0,DEC,2018
UD Kamnik,70.0,108.0,222.0,172.0,103.0,263.0,938.0,DEC,2018
UD Kočevje,155.0,145.0,259.0,201.0,124.0,238.0,1122.0,DEC,2018
UD Ljubljana,930.0,1935.0,3979.0,3116.0,1663.0,4014.0,15637.0,DEC,2018
UD Logatec,33.0,38.0,69.0,74.0,43.0,93.0,350.0,DEC,2018
UD Ribnica,63.0,60.0,53.0,64.0,34.0,64.0,338.0,DEC,2018
UD Vrhnika,69.0,96.0,182.0,166.0,100.0,227.0,840.0,DEC,2018
OS Maribor,1089.0,1369.0,2374.0,2126.0,1253.0,2561.0,10772.0,DEC,2018
UD Lenart,69.0,64.0,84.0,95.0,72.0,112.0,496.0,DEC,2018
UD Maribor,738.0,980.0,1694.0,1505.0,916.0,1921.0,7754.0,DEC,2018
UD Pesnica,76.0,88.0,168.0,155.0,81.0,157.0,725.0,DEC,2018
UD Ruše,84.0,71.0,130.0,140.0,60.0,126.0,611.0,DEC,2018
UD Slovenska Bistrica,122.0,166.0,298.0,231.0,124.0,245.0,1186.0,DEC,2018
OS Murska Sobota,678.0,623.0,1036.0,1166.0,932.0,1921.0,6356.0,DEC,2018
UD Gornja Radgona,86.0,82.0,185.0,184.0,141.0,312.0,990.0,DEC,2018
UD Lendava,151.0,123.0,231.0,261.0,214.0,454.0,1434.0,DEC,2018
UD Ljutomer,79.0,91.0,108.0,137.0,123.0,258.0,796.0,DEC,2018
UD Murska Sobota,362.0,327.0,512.0,584.0,454.0,897.0,3136.0,DEC,2018
OS Nova Gorica,217.0,343.0,661.0,587.0,349.0,922.0,3079.0,DEC,2018
UD Ajdovščina,48.0,75.0,154.0,140.0,103.0,205.0,725.0,DEC,2018
UD Idrija,34.0,33.0,63.0,58.0,33.0,81.0,302.0,DEC,2018
UD Nova Gorica,102.0,190.0,381.0,329.0,161.0,484.0,1647.0,DEC,2018
UD Tolmin,33.0,45.0,63.0,60.0,52.0,152.0,405.0,DEC,2018
OS Novo mesto,394.0,405.0,755.0,694.0,398.0,1038.0,3684.0,DEC,2018
UD Črnomelj,112.0,79.0,180.0,159.0,104.0,296.0,930.0,DEC,2018
UD Metlika,78.0,38.0,84.0,76.0,50.0,97.0,423.0,DEC,2018
UD Novo mesto,159.0,217.0,389.0,339.0,181.0,498.0,1783.0,DEC,2018
UD Trebnje,45.0,71.0,102.0,120.0,63.0,147.0,548.0,DEC,2018
OS Ptuj,345.0,383.0,552.0,524.0,349.0,660.0,2813.0,DEC,2018
UD Ormož,82.0,79.0,112.0,119.0,84.0,181.0,657.0,DEC,2018
UD Ptuj,263.0,304.0,440.0,405.0,265.0,479.0,2156.0,DEC,2018
OS Sevnica,351.0,358.0,618.0,615.0,436.0,916.0,3294.0,DEC,2018
UD Brežice,85.0,113.0,185.0,222.0,155.0,322.0,1082.0,DEC,2018
UD Krško,187.0,171.0,304.0,288.0,181.0,429.0,1560.0,DEC,2018
UD Sevnica,79.0,74.0,129.0,105.0,100.0,165.0,652.0,DEC,2018
OS Trbovlje,233.0,255.0,530.0,435.0,291.0,606.0,2350.0,DEC,2018
UD Hrastnik,47.0,45.0,85.0,90.0,51.0,104.0,422.0,DEC,2018
UD Litija,51.0,49.0,107.0,110.0,68.0,134.0,519.0,DEC,2018
UD Trbovlje,78.0,89.0,209.0,145.0,102.0,232.0,855.0,DEC,2018
UD Zagorje,57.0,72.0,129.0,90.0,70.0,136.0,554.0,DEC,2018
OS Velenje,497.0,499.0,1036.0,825.0,529.0,1223.0,4609.0,DEC,2018
UD Dravograd,36.0,26.0,55.0,43.0,32.0,85.0,277.0,DEC,2018
UD Mozirje,90.0,66.0,127.0,92.0,70.0,143.0,588.0,DEC,2018
UD Radlje ob Dravi,41.0,54.0,105.0,126.0,96.0,150.0,572.0,DEC,2018
UD Ravne na Koroškem,88.0,81.0,148.0,128.0,105.0,184.0,734.0,DEC,2018
UD Slovenj Gradec,56.0,69.0,123.0,127.0,80.0,160.0,615.0,DEC,2018
UD Velenje,186.0,203.0,478.0,309.0,146.0,501.0,1823.0,DEC,2018
,,,,,,,,DEC,2018
,,,,,,,78534.0,DEC,2018
OS Celje,770.0,927.0,1839.0,1802.0,1230.0,2476.0,9044.0,JAN,2019
UD Celje,211.0,302.0,685.0,653.0,377.0,788.0,3016.0,JAN,2019
UD Laško,59.0,68.0,134.0,104.0,85.0,193.0,643.0,JAN,2019
UD Slovenske Konjice,132.0,153.0,220.0,251.0,163.0,396.0,1315.0,JAN,2019
UD Šentjur,79.0,81.0,201.0,165.0,116.0,221.0,863.0,JAN,2019
UD Šmarje pri Jelšah,134.0,158.0,281.0,289.0,232.0,388.0,1482.0,JAN,2019
UD Žalec,155.0,165.0,318.0,340.0,257.0,490.0,1725.0,JAN,2019
OS Koper,401.0,534.0,1258.0,1185.0,685.0,1682.0,5745.0,JAN,2019
UD Ilirska Bistrica,35.0,36.0,83.0,90.0,65.0,133.0,442.0,JAN,2019
UD Izola,40.0,54.0,136.0,135.0,73.0,184.0,622.0,JAN,2019
UD Koper,147.0,216.0,491.0,459.0,246.0,641.0,2200.0,JAN,2019
UD Piran,50.0,85.0,223.0,213.0,100.0,237.0,908.0,JAN,2019
UD Postojna,87.0,73.0,160.0,136.0,103.0,251.0,810.0,JAN,2019
UD Sežana,42.0,70.0,165.0,152.0,98.0,236.0,763.0,JAN,2019
OS Kranj,458.0,561.0,1128.0,985.0,610.0,1673.0,5415.0,JAN,2019
UD Jesenice,77.0,70.0,159.0,162.0,92.0,223.0,783.0,JAN,2019
UD Kranj,183.0,260.0,565.0,469.0,276.0,740.0,2493.0,JAN,2019
UD Radovljica,75.0,103.0,171.0,146.0,97.0,259.0,851.0,JAN,2019
UD Škofja Loka,83.0,86.0,156.0,128.0,95.0,291.0,839.0,JAN,2019
UD Tržič,40.0,42.0,77.0,80.0,50.0,160.0,449.0,JAN,2019
OS Ljubljana,1642.0,2757.0,5705.0,4673.0,2544.0,6030.0,23351.0,JAN,2019
UD Cerknica,38.0,47.0,84.0,78.0,47.0,182.0,476.0,JAN,2019
UD Domžale,108.0,178.0,378.0,354.0,213.0,409.0,1640.0,JAN,2019
UD Grosuplje,158.0,159.0,313.0,279.0,150.0,323.0,1382.0,JAN,2019
UD Kamnik,77.0,106.0,231.0,183.0,111.0,288.0,996.0,JAN,2019
UD Kočevje,167.0,140.0,280.0,220.0,123.0,262.0,1192.0,JAN,2019
UD Ljubljana,935.0,1935.0,4104.0,3240.0,1713.0,4152.0,16079.0,JAN,2019
UD Logatec,30.0,38.0,73.0,78.0,42.0,103.0,364.0,JAN,2019
UD Ribnica,62.0,57.0,60.0,69.0,36.0,72.0,356.0,JAN,2019
UD Vrhnika,67.0,97.0,182.0,172.0,109.0,239.0,866.0,JAN,2019
OS Maribor,1104.0,1411.0,2548.0,2323.0,1394.0,2808.0,11588.0,JAN,2019
UD Lenart,71.0,64.0,97.0,108.0,82.0,123.0,545.0,JAN,2019
UD Maribor,740.0,1019.0,1801.0,1650.0,1027.0,2100.0,8337.0,JAN,2019
UD Pesnica,86.0,93.0,178.0,158.0,95.0,174.0,784.0,JAN,2019
UD Ruše,75.0,70.0,142.0,147.0,62.0,135.0,631.0,JAN,2019
UD Slovenska Bistrica,132.0,165.0,330.0,260.0,128.0,276.0,1291.0,JAN,2019
OS Murska Sobota,708.0,657.0,1173.0,1313.0,1005.0,2050.0,6906.0,JAN,2019
UD Gornja Radgona,94.0,84.0,197.0,209.0,152.0,318.0,1054.0,JAN,2019
UD Lendava,157.0,126.0,236.0,287.0,230.0,464.0,1500.0,JAN,2019
UD Ljutomer,80.0,93.0,120.0,156.0,130.0,285.0,864.0,JAN,2019
UD Murska Sobota,377.0,354.0,620.0,661.0,493.0,983.0,3488.0,JAN,2019
OS Nova Gorica,228.0,342.0,683.0,618.0,361.0,958.0,3190.0,JAN,2019
UD Ajdovščina,50.0,71.0,165.0,134.0,100.0,216.0,736.0,JAN,2019
UD Idrija,38.0,35.0,60.0,57.0,33.0,81.0,304.0,JAN,2019
UD Nova Gorica,113.0,189.0,387.0,364.0,175.0,506.0,1734.0,JAN,2019
UD Tolmin,27.0,47.0,71.0,63.0,53.0,155.0,416.0,JAN,2019
OS Novo mesto,382.0,403.0,812.0,714.0,430.0,1081.0,3822.0,JAN,2019
UD Črnomelj,107.0,77.0,188.0,157.0,109.0,306.0,944.0,JAN,2019
UD Metlika,81.0,38.0,86.0,76.0,55.0,106.0,442.0,JAN,2019
UD Novo mesto,153.0,217.0,434.0,362.0,198.0,519.0,1883.0,JAN,2019
UD Trebnje,41.0,71.0,104.0,119.0,68.0,150.0,553.0,JAN,2019
OS Ptuj,355.0,400.0,598.0,566.0,399.0,714.0,3032.0,JAN,2019
UD Ormož,78.0,89.0,117.0,139.0,90.0,193.0,706.0,JAN,2019
UD Ptuj,277.0,311.0,481.0,427.0,309.0,521.0,2326.0,JAN,2019
OS Sevnica,359.0,337.0,630.0,644.0,451.0,937.0,3358.0,JAN,2019
UD Brežice,90.0,109.0,188.0,244.0,163.0,332.0,1126.0,JAN,2019
UD Krško,191.0,160.0,305.0,289.0,188.0,437.0,1570.0,JAN,2019
UD Sevnica,78.0,68.0,137.0,111.0,100.0,168.0,662.0,JAN,2019
OS Trbovlje,218.0,254.0,565.0,460.0,312.0,631.0,2440.0,JAN,2019
UD Hrastnik,42.0,44.0,90.0,93.0,54.0,105.0,428.0,JAN,2019
UD Litija,51.0,50.0,111.0,116.0,77.0,140.0,545.0,JAN,2019
UD Trbovlje,77.0,90.0,233.0,159.0,113.0,247.0,919.0,JAN,2019
UD Zagorje,48.0,70.0,131.0,92.0,68.0,139.0,548.0,JAN,2019
OS Velenje,493.0,519.0,1129.0,887.0,579.0,1293.0,4900.0,JAN,2019
UD Dravograd,36.0,34.0,76.0,51.0,38.0,88.0,323.0,JAN,2019
UD Mozirje,82.0,72.0,120.0,93.0,67.0,144.0,578.0,JAN,2019
UD Radlje ob Dravi,47.0,60.0,126.0,137.0,101.0,162.0,633.0,JAN,2019
UD Ravne na Koroškem,84.0,78.0,159.0,136.0,114.0,196.0,767.0,JAN,2019
UD Slovenj Gradec,53.0,66.0,135.0,130.0,86.0,170.0,640.0,JAN,2019
UD Velenje,191.0,209.0,513.0,340.0,173.0,533.0,1959.0,JAN,2019
,,,,,,,,JAN,2019
,,,,,,,82791.0,JAN,2019
OS Celje,737.0,911.0,1808.0,1785.0,1213.0,2440.0,8894.0,FEB,2019
UD Celje,216.0,294.0,679.0,639.0,368.0,768.0,2964.0,FEB,2019
UD Laško,58.0,65.0,134.0,102.0,87.0,188.0,634.0,FEB,2019
UD Slovenske Konjice,124.0,147.0,219.0,250.0,163.0,391.0,1294.0,FEB,2019
UD Šentjur,68.0,81.0,188.0,166.0,115.0,221.0,839.0,FEB,2019
UD Šmarje pri Jelšah,120.0,154.0,273.0,288.0,227.0,394.0,1456.0,FEB,2019
UD Žalec,151.0,170.0,315.0,340.0,253.0,478.0,1707.0,FEB,2019
OS Koper,374.0,520.0,1223.0,1167.0,681.0,1647.0,5612.0,FEB,2019
UD Ilirska Bistrica,32.0,35.0,85.0,87.0,63.0,125.0,427.0,FEB,2019
UD Izola,37.0,50.0,127.0,129.0,73.0,187.0,603.0,FEB,2019
UD Koper,140.0,210.0,484.0,448.0,252.0,631.0,2165.0,FEB,2019
UD Piran,48.0,81.0,213.0,214.0,95.0,228.0,879.0,FEB,2019
UD Postojna,79.0,84.0,154.0,139.0,100.0,245.0,801.0,FEB,2019
UD Sežana,38.0,60.0,160.0,150.0,98.0,231.0,737.0,FEB,2019
OS Kranj,422.0,536.0,1114.0,968.0,587.0,1660.0,5287.0,FEB,2019
UD Jesenice,75.0,64.0,154.0,171.0,82.0,213.0,759.0,FEB,2019
UD Kranj,171.0,262.0,553.0,458.0,266.0,740.0,2450.0,FEB,2019
UD Radovljica,68.0,94.0,184.0,149.0,99.0,257.0,851.0,FEB,2019
UD Škofja Loka,71.0,76.0,151.0,121.0,92.0,291.0,802.0,FEB,2019
UD Tržič,37.0,40.0,72.0,69.0,48.0,159.0,425.0,FEB,2019
OS Ljubljana,1585.0,2654.0,5576.0,4570.0,2476.0,5934.0,22795.0,FEB,2019
UD Cerknica,36.0,45.0,74.0,75.0,47.0,173.0,450.0,FEB,2019
UD Domžale,102.0,174.0,368.0,342.0,205.0,405.0,1596.0,FEB,2019
UD Grosuplje,154.0,147.0,312.0,282.0,151.0,320.0,1366.0,FEB,2019
UD Kamnik,72.0,105.0,226.0,178.0,113.0,273.0,967.0,FEB,2019
UD Kočevje,166.0,135.0,280.0,233.0,120.0,267.0,1201.0,FEB,2019
UD Ljubljana,896.0,1869.0,4001.0,3138.0,1666.0,4095.0,15665.0,FEB,2019
UD Logatec,33.0,36.0,75.0,76.0,41.0,99.0,360.0,FEB,2019
UD Ribnica,62.0,54.0,59.0,68.0,38.0,72.0,353.0,FEB,2019
UD Vrhnika,64.0,89.0,181.0,178.0,95.0,230.0,837.0,FEB,2019
OS Maribor,1079.0,1375.0,2472.0,2234.0,1359.0,2748.0,11267.0,FEB,2019
UD Lenart,77.0,64.0,87.0,98.0,75.0,121.0,522.0,FEB,2019
UD Maribor,739.0,997.0,1773.0,1589.0,1001.0,2067.0,8166.0,FEB,2019
UD Pesnica,75.0,95.0,164.0,149.0,89.0,169.0,741.0,FEB,2019
UD Ruše,74.0,66.0,135.0,139.0,67.0,127.0,608.0,FEB,2019
UD Slovenska Bistrica,114.0,153.0,313.0,259.0,127.0,264.0,1230.0,FEB,2019
OS Murska Sobota,661.0,644.0,1131.0,1224.0,974.0,1992.0,6626.0,FEB,2019
UD Gornja Radgona,95.0,85.0,193.0,194.0,151.0,307.0,1025.0,FEB,2019
UD Lendava,145.0,122.0,228.0,261.0,217.0,450.0,1423.0,FEB,2019
UD Ljutomer,72.0,89.0,115.0,142.0,127.0,282.0,827.0,FEB,2019
UD Murska Sobota,349.0,348.0,595.0,627.0,479.0,953.0,3351.0,FEB,2019
OS Nova Gorica,200.0,346.0,670.0,574.0,350.0,949.0,3089.0,FEB,2019
UD Ajdovščina,43.0,72.0,158.0,127.0,97.0,210.0,707.0,FEB,2019
UD Idrija,36.0,32.0,59.0,48.0,27.0,74.0,276.0,FEB,2019
UD Nova Gorica,95.0,196.0,382.0,342.0,177.0,508.0,1700.0,FEB,2019
UD Tolmin,26.0,46.0,71.0,57.0,49.0,157.0,406.0,FEB,2019
OS Novo mesto,363.0,376.0,774.0,683.0,407.0,1065.0,3668.0,FEB,2019
UD Črnomelj,104.0,72.0,176.0,154.0,107.0,305.0,918.0,FEB,2019
UD Metlika,77.0,41.0,80.0,71.0,52.0,102.0,423.0,FEB,2019
UD Novo mesto,144.0,202.0,414.0,344.0,184.0,514.0,1802.0,FEB,2019
UD Trebnje,38.0,61.0,104.0,114.0,64.0,144.0,525.0,FEB,2019
OS Ptuj,343.0,398.0,589.0,545.0,400.0,696.0,2971.0,FEB,2019
UD Ormož,73.0,90.0,113.0,130.0,93.0,188.0,687.0,FEB,2019
UD Ptuj,270.0,308.0,476.0,415.0,307.0,508.0,2284.0,FEB,2019
OS Sevnica,330.0,327.0,599.0,603.0,440.0,918.0,3217.0,FEB,2019
UD Brežice,87.0,103.0,181.0,233.0,163.0,324.0,1091.0,FEB,2019
UD Krško,178.0,153.0,283.0,260.0,183.0,426.0,1483.0,FEB,2019
UD Sevnica,65.0,71.0,135.0,110.0,94.0,168.0,643.0,FEB,2019
OS Trbovlje,209.0,251.0,564.0,462.0,295.0,624.0,2405.0,FEB,2019
UD Hrastnik,42.0,41.0,92.0,88.0,56.0,102.0,421.0,FEB,2019
UD Litija,44.0,51.0,111.0,118.0,64.0,143.0,531.0,FEB,2019
UD Trbovlje,75.0,92.0,235.0,159.0,113.0,240.0,914.0,FEB,2019
UD Zagorje,48.0,67.0,126.0,97.0,62.0,139.0,539.0,FEB,2019
OS Velenje,486.0,525.0,1163.0,913.0,563.0,1274.0,4924.0,FEB,2019
UD Dravograd,31.0,31.0,65.0,56.0,38.0,85.0,306.0,FEB,2019
UD Mozirje,80.0,71.0,124.0,95.0,70.0,147.0,587.0,FEB,2019
UD Radlje ob Dravi,35.0,60.0,127.0,126.0,99.0,154.0,601.0,FEB,2019
UD Ravne na Koroškem,82.0,84.0,164.0,136.0,107.0,193.0,766.0,FEB,2019
UD Slovenj Gradec,58.0,60.0,137.0,137.0,84.0,170.0,646.0,FEB,2019
UD Velenje,200.0,219.0,546.0,363.0,165.0,525.0,2018.0,FEB,2019
,,,,,,,,FEB,2019
,,,,,,,80755.0,FEB,2019
OS Celje,640.0,861.0,1680.0,1656.0,1137.0,2380.0,8354.0,MAR,2019
UD Celje,188.0,290.0,626.0,580.0,345.0,745.0,2774.0,MAR,2019
UD Laško,46.0,63.0,129.0,108.0,85.0,189.0,620.0,MAR,2019
UD Slovenske Konjice,105.0,146.0,207.0,223.0,148.0,377.0,1206.0,MAR,2019
UD Šentjur,65.0,79.0,170.0,161.0,110.0,217.0,802.0,MAR,2019
UD Šmarje pri Jelšah,106.0,137.0,245.0,266.0,217.0,380.0,1351.0,MAR,2019
UD Žalec,130.0,146.0,303.0,318.0,232.0,472.0,1601.0,MAR,2019
OS Koper,343.0,458.0,1129.0,1090.0,659.0,1628.0,5307.0,MAR,2019
UD Ilirska Bistrica,33.0,33.0,84.0,81.0,63.0,122.0,416.0,MAR,2019
UD Izola,38.0,44.0,106.0,109.0,70.0,185.0,552.0,MAR,2019
UD Koper,122.0,190.0,459.0,421.0,239.0,632.0,2063.0,MAR,2019
UD Piran,44.0,64.0,183.0,200.0,92.0,219.0,802.0,MAR,2019
UD Postojna,71.0,73.0,146.0,142.0,102.0,241.0,775.0,MAR,2019
UD Sežana,35.0,54.0,151.0,137.0,93.0,229.0,699.0,MAR,2019
OS Kranj,381.0,461.0,1040.0,885.0,532.0,1646.0,4945.0,MAR,2019
UD Jesenice,74.0,54.0,139.0,150.0,72.0,216.0,705.0,MAR,2019
UD Kranj,138.0,221.0,514.0,411.0,240.0,728.0,2252.0,MAR,2019
UD Radovljica,64.0,76.0,171.0,149.0,89.0,256.0,805.0,MAR,2019
UD Škofja Loka,67.0,74.0,144.0,114.0,83.0,292.0,774.0,MAR,2019
UD Tržič,38.0,36.0,72.0,61.0,48.0,154.0,409.0,MAR,2019
OS Ljubljana,1508.0,2550.0,5354.0,4372.0,2363.0,5820.0,21967.0,MAR,2019
UD Cerknica,33.0,43.0,68.0,65.0,41.0,166.0,416.0,MAR,2019
UD Domžale,102.0,181.0,355.0,324.0,190.0,404.0,1556.0,MAR,2019
UD Grosuplje,136.0,136.0,291.0,262.0,146.0,318.0,1289.0,MAR,2019
UD Kamnik,65.0,109.0,220.0,170.0,110.0,276.0,950.0,MAR,2019
UD Kočevje,165.0,138.0,278.0,227.0,121.0,262.0,1191.0,MAR,2019
UD Ljubljana,853.0,1777.0,3854.0,3037.0,1597.0,4000.0,15118.0,MAR,2019
UD Logatec,33.0,33.0,67.0,67.0,45.0,105.0,350.0,MAR,2019
UD Ribnica,60.0,47.0,58.0,65.0,32.0,70.0,332.0,MAR,2019
UD Vrhnika,61.0,86.0,163.0,155.0,81.0,219.0,765.0,MAR,2019
OS Maribor,1016.0,1283.0,2312.0,2065.0,1261.0,2664.0,10601.0,MAR,2019
UD Lenart,65.0,50.0,74.0,87.0,62.0,117.0,455.0,MAR,2019
UD Maribor,702.0,944.0,1683.0,1493.0,940.0,1995.0,7757.0,MAR,2019
UD Pesnica,69.0,96.0,147.0,129.0,72.0,164.0,677.0,MAR,2019
UD Ruše,69.0,58.0,132.0,126.0,64.0,121.0,570.0,MAR,2019
UD Slovenska Bistrica,111.0,135.0,276.0,230.0,123.0,267.0,1142.0,MAR,2019
OS Murska Sobota,595.0,568.0,1021.0,1092.0,883.0,1873.0,6032.0,MAR,2019
UD Gornja Radgona,74.0,69.0,173.0,173.0,137.0,299.0,925.0,MAR,2019
UD Lendava,133.0,115.0,214.0,240.0,203.0,441.0,1346.0,MAR,2019
UD Ljutomer,61.0,75.0,99.0,126.0,111.0,263.0,735.0,MAR,2019
UD Murska Sobota,327.0,309.0,535.0,553.0,432.0,870.0,3026.0,MAR,2019
OS Nova Gorica,188.0,313.0,644.0,565.0,335.0,954.0,2999.0,MAR,2019
UD Ajdovščina,41.0,58.0,143.0,125.0,90.0,221.0,678.0,MAR,2019
UD Idrija,35.0,32.0,62.0,46.0,27.0,77.0,279.0,MAR,2019
UD Nova Gorica,97.0,182.0,375.0,340.0,172.0,507.0,1673.0,MAR,2019
UD Tolmin,15.0,41.0,64.0,54.0,46.0,149.0,369.0,MAR,2019
OS Novo mesto,329.0,365.0,726.0,653.0,371.0,1038.0,3482.0,MAR,2019
UD Črnomelj,93.0,66.0,164.0,154.0,98.0,303.0,878.0,MAR,2019
UD Metlika,68.0,43.0,79.0,65.0,45.0,97.0,397.0,MAR,2019
UD Novo mesto,134.0,197.0,390.0,334.0,173.0,497.0,1725.0,MAR,2019
UD Trebnje,34.0,59.0,93.0,100.0,55.0,141.0,482.0,MAR,2019
OS Ptuj,310.0,364.0,522.0,484.0,366.0,682.0,2728.0,MAR,2019
